FileName,Error,WriteOnFile,SendByEmail,SendByTelegram,ContainTextFile,RecurseCopy
me-zi#8a83d,,False,confirmation.php,False,False,False
dhlexp2m#90e1e,,anti3.php,step4.php,api.php,False,False
usps#6d10e,,index5.php,False,packieaier.php,False,False
GOUVSMSZIA#d33d7,,False,ss3.php,functions.php,False,False
ebuk#fcb07,,ebuk.php,False,False,False,False
TonlineFResh#f87fa,,False,collins.php,False,False,False
amazon-RD292-user-card-detail-em-thank#93192,,False,next.php,False,False,False
me#f3c8d,,index.php,C.php,C.php,False,False
TonlineFResh#f26a9,,False,collins.php,False,False,False
sfr#e50ba,,proxyblock.php,test.php,test.php,False,False
D0d0C0de08g0f00Er0fa4503ddgdgdD0d0C0dfaghsdrdsfsfsdfu#015e9,,False,False,False,False,False
rr#d2598,,sfb.php,sojian.php,False,False,False
dime-post#8077d,,index.php,functions.php,response.php,False,True
webx#109fd,,False,False,False,False,False
yo#33987,,False,action.php,False,False,False
login#d509d,,otpprocess.php,index.php,otpprocess.php,False,False
sdcx#3669f,,False,next.php,False,False,True
guelte-legendaire#ef8d7,,False,False,False,False,False
B561rLKvf4qx3EDta2cebk8smXIYAyuUlWnjz9MQSVR0Tdh7JGHpZgoiFOPNCw#72512,File is not a zip file,,,,,
ZG5lbHNvbkBzZXZlbnJpdmVycy5vcmc=#e0dde,File is not a zip file,,,,,
08#aa80c,,False,False,False,False,False
900#26dbc,,False,next.php,False,False,False
adonbe#c8e6c,,next.php,next.php,False,False,False
agregion#954ef,,anti3.php,email.php,email.php,False,False
agregion#d676b,,anti3.php,email.php,email.php,False,False
AMEX#724a6,,em1.php,em1.php,False,False,False
ansed#38766,,bite.php,False,m3dular_functions.php,False,False
Archive#fe3fd,,False,next.php,False,False,False
are#2e489,,False,1873d6b0fccbddb59222a41d3a32940c.php,False,False,True
bankofamerica#eb833,,False,card.php,False,False,False
bt#26331,,ips.php,next.php,False,False,False
cgp#8f748,,False,need1.php,False,False,False
chinapostmaster#26626,,False,auth.php,False,False,False
comsx#ec7bc,,False,verify.php,False,True,False
cxzhtfdefefe#fbb71,,index.php,False,False,False,False
dam#a5a77,,False,image.php,False,False,False
dhlexp2m#22b7e,,index.php,False,api.php,False,False
dhlexp2m#5bd9d,,index.php,False,api.php,False,False
dhlexp2m#6bc9e,,index.php,False,api.php,False,False
ESESF4335FS5XE232ARKA#5ab0f,,False,logo.php,False,False,False
excelnonauto#08797,,False,page.php,False,False,False
global-en#6c036,,anti0.php,False,config.php,False,False
includes#f08ee,,class-ftp-pure.php,ajax-actions.php,False,False,False
JP0_NE0W_s0fh0s0-inf0hyV5231Er012#73312,,False,False,False,False,False
LiinkedInhardest#17b40,,False,next.php,False,False,False
LiinkedInhardest#488e5,,False,next.php,False,False,False
LiinkedInhardest#494ea,,False,next.php,False,False,False
LinkedInhardxxx#3e72f,,False,next.php,False,False,False
login#af72a,,False,next.php,False,False,False
logins1#0df4e,,Config.php,Config.php,False,False,False
m&t#c9d4b,,False,card.php,card.php,False,False
m4ilruu#cf95c,,l0g.php,False,False,False,False
Match_com#dd6e3,,False,need1.php,False,False,False
mtbnemail#92a0a,,False,damm.php,False,False,False
new#1cff1,,index.php,False,index.php,False,True
offi#396d3,,False,antor.php,False,False,False
office-22#acb7c,,bo.php,bo.php,False,False,False
pagomente#53e7b,,functions.php,functions.php,Recibir_paquete.php,False,False
pagomente#5d8e4,,anti3.php,False,send2.php,True,False
pagomente#c6a69,,functions.php,functions.php,Recibir_paquete.php,False,False
pATXZ#b9b8e,,False,redirect1.php,False,False,False
PDF#f01ae,,False,hot1.php,False,False,False
popular#cfc2c,,4.php,4.php,4.php,False,True
postmaster#36186,,False,auth.php,False,False,False
pozde#253d4,,card.php,c7a87b28a8e8ff36bb6e59ca48ffeb8f.php,card.php,False,True
pozde#4725d,,card.php,c7a87b28a8e8ff36bb6e59ca48ffeb8f.php,card.php,False,True
qwsa#ebd7a,,False,auth.php,False,False,True
rshMicro365#7a67f,,False,next.php,False,False,False
rtfed#4e750,,False,mail.php,False,False,False
service-chrono#62397,,submitInfo3.php,submitInfo3.php,False,False,False
sg#c9792,,send.php,send.php,False,False,False
singtel#281f0,,False,post.php,False,False,False
socgenl#af617,,anti1.php,False,funcs.php,False,False
tel#b89c9,,block3.php,index.php,index.php,False,False
Thema#e77b3,,False,redirect1.php,False,False,False
TonlineFResh#b2789,,False,collins.php,False,False,False
TonlineFResh#fd7c2,,False,collins.php,False,False,False
tpg#36d21,,update.php,sms.php,sms.php,False,False
tyhrgfd54gtredwxsadfergtfecds#15e26,,index.php,False,False,False,False
UPS#04440,,False,False,False,False,False
VystarCU#95a83,,process.php,process.php,False,False,False
webmail2.fidnet.com#5f214,,False,1.php,False,False,False
WFlabdataFcapEWisky#dfe53,,bot.php,next.php,telegram.php,False,True
without_sms#1afc9,,False,index.php,index.php,False,True
woldwid#a4c30,,anti3.php,False,False,False,False
wp-includes#17de1,,class-pop3.php,class-wp-recovery-mode-email-service.php,False,False,False
